Feedback_ID;Feedback_Text
1;Der Service war hervorragend und mein Anliegen wurde sofort geklärt.
2;Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.
3;Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.
4;Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.
5;Der Service hat zu lange gebraucht und mein Problem nicht gelöst.
6;Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.
7;Fantastischer Service! Mein Problem wurde sofort gelöst.
8;Es hat zu lange gedauert und niemand konnte mir helfen.
9;Es war okay, nicht das Beste, aber das Problem wurde gelöst.
10;Das Support-Team schien verwirrt und hat nicht wirklich geholfen.